date,region,temperature,rainfall,co2,sea_level
2000-01-01,North,22.195399814215726,77.86606829425244,371.61922134525173,1.0661208994856177
2000-02-01,North,24.464835635571262,79.10515284806526,368.7478046649412,-0.3326188650247034
2000-03-01,North,22.609115034481754,49.37712470759027,367.8679221991639,0.2899731328166917
2000-04-01,North,23.216912881197125,46.97720466912609,376.9987200775945,0.3809631153157207
2000-05-01,North,20.707105834113673,27.834351196102947,369.2957334694265,1.4365947291562562
2000-06-01,North,17.73876936463526,30.893489132561232,367.8372022151934,0.9393945850503698
2000-07-01,North,15.605853211993576,32.46497150593542,370.91087929402937,-0.0007725869125021212
2000-08-01,North,10.136472837203046,32.19408733952892,368.57361923829603,0.33910021783961536
2000-09-01,North,10.148309199571658,61.11676288840867,374.1774988062399,0.931896083381339
2000-10-01,North,9.934407568142456,79.9964697578482,371.3556696968234,0.027731683919589745
2000-11-01,North,14.519185829787528,89.28404028488453,372.9040900626191,-0.10158382822358691
2000-12-01,North,22.853214755077342,73.79609194932624,371.20340402496197,0.3423951387676777
2001-01-01,North,21.7724650871497,59.37302215995537,371.8508202804062,0.6699788000582225
2001-02-01,North,23.92115183609479,64.73131205960277,373.85362082881204,1.2657306570524194
2001-03-01,North,25.303908569087255,64.68644990532889,371.0448672653066,0.2606364973815623
2001-04-01,North,20.524931359902215,44.45517943888767,372.0112088710493,0.3226042004710406
2001-05-01,North,24.33266026169474,32.49706682235411,373.8438759768069,0.507887858963683
2001-06-01,North,16.70245543179008,17.074138205968097,373.6558692063741,0.29217350361639083
2001-07-01,North,14.44669464930643,33.76676211737184,373.5132205757369,-0.18807462633367222
2001-08-01,North,11.08035162516921,48.731408558892475,371.79543039162576,1.6338110032528748
2001-09-01,North,9.853249144817037,104.33702270397228,374.24912841271913,0.34756704211866063
2001-10-01,North,11.181404983506592,66.3006623092431,373.84134442592324,1.166902643000591
2001-11-01,North,13.591386051531636,86.02057196178528,379.08079779330177,1.0474617580451093
2001-12-01,North,15.881258590064956,84.18978491895986,377.1012140194053,0.9116946035814817
2002-01-01,North,21.94019651947834,80.30634777624189,377.1016667892827,0.6812942811154468
2002-02-01,North,25.557774727583933,86.88593857325462,376.4172351769677,0.759849696086667
2002-03-01,North,21.280760349138674,46.968223349873526,375.1878576383724,0.6416736856138678
2002-04-01,North,23.042325341531605,52.0492821845015,376.9856007406607,3.087766650064782
2002-05-01,North,21.81997917354238,34.88482957027217,375.24775361383166,1.5905133015474178
2002-06-01,North,17.82563313448949,32.03597064144817,382.7598451162246,0.9931692412832092
2002-07-01,North,12.363448512968269,28.31994408996556,376.81805846591465,1.4046027111707722
2002-08-01,North,12.780780442809684,41.50629810915165,375.6563575577399,0.7523198561196671
2002-09-01,North,9.50603510287537,38.78305379056516,373.53070006793746,2.0927219797026138
